nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 BONTANG UTARA,30404546,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,23,6,523,18,18,1,1,46,22 Apr 2026 10:25:41,3A64FFEBD6D7AB63FD8E
SD NEGERI 002 BONTANG UTARA,30401842,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,23,5,517,17,12,0,1,69,29 Apr 2026 07:58:27,4B8A35370BC765F420BE
SD NEGERI 003 BONTANG UTARA,30404467,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,29,8,624,20,17,2,1,25,29 Apr 2026 11:06:57,27A00192D4723169715F
SD NEGERI 004 BONTANG UTARA,30401841,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,23,7,554,18,15,0,1,12,08 Apr 2026 07:43:45,E0DA93813488F6917494
SD NEGERI 005 BONTANG UTARA,30404586,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,26,5,599,20,18,0,1,30,21 Apr 2026 16:03:07,ED3567448868BA52C28E
SD NEGERI 006 BONTANG UTARA,30401839,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,16,5,353,12,9,0,2,26,04 Apr 2026 07:33:19,80E8A25C9EE0F3210757
SD NEGERI 007 BONTANG UTARA,30401838,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,26,5,575,19,11,1,1,16,11 Apr 2026 04:10:34,E7614854A7DBD2A86A27
SD NEGERI 008 BONTANG UTARA,30404469,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,25,9,558,19,13,5,1,27,29 Apr 2026 08:11:03,239393FD8DD6EF5338B9
SD NEGERI 009 BONTANG UTARA,30404603,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,17,7,404,13,13,0,0,22,24 Apr 2026 07:22:24,1FEF5F78DA9F74A87770
SD NEGERI 010 BONTANG UTARA,30401835,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,26,5,533,18,18,1,1,67,20 Apr 2026 09:11:53,9D5E96F46174CD4E170A
SD NEGERI 011 BONTANG UTARA,30405702,SD,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,8,4,60,6,6,0,1,24,22 Apr 2026 09:52:54,34ED9C4629D889B65164
SD BETHLEHEM,30404539,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,18,2,246,12,12,0,3,20,26 Apr 2026 15:42:17,D6C23BB7CE5CCAF9704A
SD BINTANG,69786417,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,18,2,248,12,12,2,1,9,27 Apr 2026 09:10:18,6EAEA00023B6AD3A5B7A
SD DARUL ULUM,30401817,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,8,3,65,6,6,0,1,50,29 Apr 2026 09:34:59,E98421918BAB9FD900A0
SD IMANUEL,30401816,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,5,2,135,6,6,2,0,23,22 Apr 2026 12:23:22,9F0D8B9EBF85CFC4777F
SD ISLAM NURUL FATAH,30407728,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,7,4,150,6,6,0,1,17,29 Apr 2026 08:59:26,7241D154CA6136395CF2
SD ISLAM YPL BONTANG,30401815,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,15,3,279,12,15,0,1,26,29 Apr 2026 05:13:50,CD6EB5813DC8BF8131B4
SD NURUL IMAN,30404363,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,7,3,80,6,6,0,1,13,21 Apr 2026 12:12:12,0EB092289B41CBBCEE50
SD SIDRAP LUAR,30405338,SD,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,4,3,18,6,6,0,1,2,29 Jan 2026 06:50:38,E85C42200841BEF807BC
SMP NEGERI 1 BONTANG,30401794,SMP,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,44,8,849,25,25,4,0,35,28 Apr 2026 09:44:40,7C439782E900FB627DBE
SMP NEGERI 9 BONTANG,69899027,SMP,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,19,6,340,10,10,3,1,33,20 Apr 2026 09:39:34,C0BA45133DA0763E000D
SMP BAHRUL ULUM,30401771,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,22,8,485,15,16,2,1,14,08 Apr 2026 07:13:19,2486BACFAE0EC6440AA5
SMP BETHLEHEM,30401772,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,3,3,4,2,3,2,2,10,23 Apr 2026 10:46:24,5C486E3CA26683E36333
SMP BINTANG BONTANG,70046181,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,6,2,41,3,3,0,1,25,15 Apr 2026 13:19:59,51F917F13872C1F01225
SMP IMANUEL,30401776,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,5,1,54,3,3,1,1,12,27 Apr 2026 20:29:14,A640F180B8715D2359A7
SMP ISLAM ARRIYADH,30401788,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,19,3,424,14,14,1,1,44,28 Apr 2026 09:09:30,FC9D53F68784C1F094B5
SMP ISLAM NURUL IMAN,30401805,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,6,2,71,3,3,1,2,13,17 Apr 2026 08:50:52,68128F24344D0F40F162
SMP IT TAMAN FIRDAUS,70049336,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,10,2,79,4,8,0,0,66,30 Apr 2026 08:03:03,A8E6E6C206B0C2261C69
SMP MUHAMMADIYAH 1 BONTANG,30401806,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,7,3,112,5,10,1,1,14,20 Apr 2026 10:50:02,51A9CB4817C61757D763
SMP YKP MONAMAS,30401799,SMP,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,8,2,34,3,3,2,1,26,14 Apr 2026 11:04:08,A846A4849D922FD9CCFD
SMA NEGERI 1 BONTANG,30401786,SMA,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,46,10,752,21,21,6,1,68,28 Apr 2026 14:15:49,D3104FF2F05611D88E81
SMAS BAHRUL ULUM,30401830,SMA,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,17,9,261,10,12,5,1,52,27 Apr 2026 13:51:31,8907D6C23ACF3498F6FF
SMAS HIDAYATULLAH,30401829,SMA,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,14,2,179,6,6,1,0,44,10 Mar 2026 08:06:03,B26584B17FC09F8A2286
SMAS YKP MONAMAS BONTANG,30401808,SMA,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,10,5,55,3,5,2,1,21,20 Apr 2026 16:26:27,DA7113FC280D8ECB5C7F
SMKN 1 BONTANG,30401782,SMK,Negeri,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,100,14,1424,41,29,2,1,43,28 Apr 2026 12:25:41,A93E57711ACAE0972D3E
SMKS ALL TRUCK,69766188,SMK,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,2,1,0,0,0,0,0,0,,988EEBF9CB80AC5C2076
SMKS CENDIKIA,30407788,SMK,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,18,6,97,7,9,1,1,28,17 Apr 2026 14:08:33,B29BA21788A7191092DE
SMKS MUHAMMADIYAH BONTANG,30401783,SMK,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,4,3,60,8,9,1,1,9,10 Apr 2026 20:15:44,D2E7A71067C977CD9147
SMKS PUTRA BANGSA BONTANG,30401781,SMK,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,24,7,456,15,19,3,1,35,24 Apr 2026 11:17:50,7F0923E1DD476766DE61
SMKS YP RIGOMASI BONTANG,30401778,SMK,Swasta,Kec. Bontang Utara,166302,Kota Bontang,166300,Prov. Kalimantan Timur,160000,14,10,128,10,17,3,1,70,25 Apr 2026 05:18:16,DC6AD4F2BF141101AAAB
