nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS AL AZHAR,69881660,MTs,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF KAWEDUSAN,20581070,MTs,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF NU BACEM,20581071,MTs,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MAMBA`US SHOLIHIN BLITAR,70044596,MTs,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS PLUS AL MAHMUD,70032946,MTs,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSN 10 BLITAR,69978953,MTs,NEGERI,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSN 9 BLITAR,20581069,MTs,NEGERI,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA MAARIF PONGGOK,20584128,MA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA PLUS AL MAHMUD,70059481,MA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL AZHAR,60714658,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL HUDA KAWEDUSAN,60714649,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL-IRSYAD KARANGBENDO,60714664,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI DARUL HIKMAH,60714650,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI DARUL-ULUM,60714648,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI DARUT TAQWA PONGGOK,60714662,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI DARUT TAQWA SIDOREJO,60714663,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI IMAM SUHADI,60714660,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH,60714661,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MA`ARIF CANDIREJO,60714655,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MAMBAUL HUDA,60714656,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MAMBAUL HUDA KARANGBENDO,60714657,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MISRIU KEBONDUREN,60714652,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI PLUS AL MAHMUD,69963394,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI PLUS ASSALAAM,69993686,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI PLUS MAARIF NU,60714654,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI TARBIYATUS SHOLIHIN,60714651,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI UNGGULAN DARUSSALAM,60714665,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIN 6 BLITAR,60714647,MI,NEGERI,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIN 8 BLITAR,60714646,MI,NEGERI,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS HASYIM ASY`ARI KEBONDUREN,60714653,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS NURUL HUDA SIDOREJO,60714659,MI,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AISYIYAH,69744308,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL AZHAR,69744260,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL ISTIQOMAH,70010242,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL KAUTSAR,69744306,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL MAHMUD,69884952,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA ALKHUSNA,69744307,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAITUL A`LA,69977577,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAITUL MUTTAQIIN,69744309,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA DARUT TAQWA,69744310,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA GUPPI PONGGOK,69744311,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL HUDA,69744312,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA 01 PANCIR,69744313,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA II,69744314,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PLUS AL-IRSYAD,69744315,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA RAUDLATUL JANNAH,69752838,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA UNGGULAN DARUSSALAM,69744316,RA,SWASTA,Kec. Ponggok,051519,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
