nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES 1 BINAGARA,60201168,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,7,2,59,6,7,0,1,30,19 Apr 2026 17:51:24,D1AB6B2902FA166A6303
SD INPRES 2 BINAGARA,60201151,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,61,6,8,1,2,32,05 Mar 2026 02:58:19,7653EA031E545D9A54FD
SD INPRES NANAS,60200681,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,67,6,7,1,1,17,09 Apr 2026 14:44:13,03478769BC40EC850F8D
SD INPRES SAOLAT,60201187,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,3,78,6,6,0,1,36,14 Apr 2026 23:03:30,CB6789F64862CD2494FA
SD INPRES TABANALOU,60200680,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,32,6,8,1,1,43,30 Apr 2026 09:35:21,9A4B3AE76799976C2E48
SD INPRES TOMARES,60201322,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,1,80,6,6,1,1,37,28 Apr 2026 09:54:11,BE9E8508661A937841F1
SD Negeri Ekor,60200648,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,71,6,6,1,1,39,17 Apr 2026 08:09:16,E49381434812C0EF7074
SD NEGERI FAYAUL,60201300,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,3,120,6,6,0,1,27,10 Apr 2026 07:35:12,929B6DB9EDC39971DBD9
SD NEGERI INO JAYA,69961274,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,5,71,6,6,0,1,40,28 Apr 2026 08:09:26,0BFDD9405CB7CB187A28
SD NEGERI LOLEBA,60201308,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,3,99,6,6,0,1,97,15 Mar 2026 13:06:20,0BEB62E76F2B82EA39CE
SD NEGERI MINAMIN,60201312,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,2,94,6,8,0,0,44,10 Apr 2026 06:33:43,5FCA205E993D88A52101
SD NEGERI NUSA AMBU,60200690,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,14,5,94,6,8,1,1,12,14 Apr 2026 21:51:54,9A3B65BEB70A723A2F67
SD NEGERI NUSA JAYA,60200647,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,2,147,6,8,0,1,56,14 Apr 2026 10:24:40,FDE381130D54F1A3832A
SD NEGERI PINTATU,60200645,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,3,118,6,6,0,1,52,29 Apr 2026 06:10:55,FE647B2B2449944B75B5
SD NEGERI SARAMAAKE,60200638,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,12,2,116,6,6,1,1,16,18 Apr 2026 07:55:25,A8CEDE83AF33F546B23D
SD NEGERI SONDO SONDO,60203403,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,12,3,80,6,6,0,1,28,24 Apr 2026 08:32:35,184F0CBDB43A245411CB
SD NEGERI TANURE,69787389,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,1,73,6,5,0,1,18,06 Mar 2026 20:38:52,5A3AD2453C57905F1095
SD NEGERI WAIJOI,60201199,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,3,180,7,9,0,0,37,12 Mar 2026 19:22:52,49A6F124389B114FBD1D
SD NEGERI WASILE,60201326,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,1,82,6,9,0,1,22,05 Mar 2026 10:35:40,CEC203E388873D21870F
SD NEGERI YAWAL,69961595,SD,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,7,2,24,6,4,0,0,70,03 Apr 2026 02:21:38,D988B69E48C11176ECED
SMP N 1 SATAP WASILE,60203423,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,7,2,62,3,6,2,3,19,29 Apr 2026 05:47:42,55484D767DFC5B1ACDEA
SMP N 10 WASILE,69728575,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,12,2,92,3,3,1,2,13,10 Apr 2026 22:19:06,4119C31FDA83FDD8D4A4
SMP N 2 SATAP WASILE,60201339,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,3,85,3,4,1,1,38,09 Apr 2026 19:17:40,EB13335DF142FBEE49ED
SMP N 4 SATAP WASILE,60203432,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,3,49,3,7,0,1,55,30 Apr 2026 09:13:50,7BFEA4914196E702B455
SMP N 6 SATAP WASILE,60203425,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,43,3,3,0,1,63,28 Apr 2026 05:19:56,4145B0F50B9F1E876BCE
SMP N 7 WASILE,60203437,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,13,2,45,3,4,1,1,64,26 Apr 2026 05:11:34,A93F73DE7FDA0B192F43
SMP N 9 WASILE,69787390,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,9,1,72,3,3,0,1,55,30 Apr 2026 05:50:13,4BCD6F86A709B2C14703
SMP NEGERI 13 WASILE,69979242,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,7,3,82,3,3,0,0,27,24 Apr 2026 08:30:39,3BB56CEEA1F519EF6551
SMP NEGERI 3 WASILE,60201347,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,14,2,100,5,11,2,1,51,21 Apr 2026 08:20:22,CE21D79485AFB9ADAAA2
SMP NEGERI 5 WASILE,60200672,SMP,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,11,2,101,5,5,2,1,44,29 Apr 2026 20:48:28,2FA225D7EBEE0CF6D852
SMP PEMERHATI SARAMAAKE,70058398,SMP,Swasta,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,C34E5ECCF12890AD5A9F
SMA NEGERI 4 HALMAHERA TIMUR,60201365,SMA,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,29,11,239,9,9,4,1,48,01 May 2026 07:45:35,A8FA3A51659AD87EFF57
SMA MAFUTURU FAYAUL,69958910,SMA,Swasta,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,6,1,109,4,1,2,0,14,17 Mar 2026 20:34:30,BC73637ECA21A4BB11AF
SMA SWASTA CYRUS,69982116,SMA,Swasta,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,4,0,33,3,3,0,0,16,28 Apr 2026 15:26:59,35F431C9ACA0AC10C966
SMAS TAMAN SISWA HALTIM,69973627,SMA,Swasta,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,1,46,3,3,2,1,18,04 Mar 2026 10:46:37,F5D48126F8812B3008F7
SMK NEGERI 2 HALMAHERA TIMUR,69773557,SMK,Negeri,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,20,4,139,10,10,2,1,38,29 Apr 2026 16:21:45,7218E2EC1285F841D358
SMKS TEKNOLOGI PERIKANAN,60203442,SMK,Swasta,Kec. Wasile Selatan,270602,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,3,24,3,3,1,1,37,30 Apr 2026 19:39:04,7026E744ED6631269DB6
SD Inp. Akedaga 1,60201161,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,5,101,6,7,0,1,12,11 Apr 2026 05:55:54,8E62116BE89598E7ABC8
SD Inp. Akedaga 2,60201162,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,2,154,7,7,0,1,13,20 Apr 2026 07:25:03,9B1EE3FA23F88A2BD6EE
SD Inp. Dakaino 2,60201160,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,11,1,77,6,7,0,1,49,10 Apr 2026 06:11:48,7A435105924F6B8F919C
SD Inpres Dakaino 1,60201159,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,2,164,6,6,1,1,32,27 Apr 2026 05:55:31,795A486B388922139876
SD Inpres Toboino,60200698,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,3,125,6,8,1,1,9,08 Apr 2026 07:48:41,6771FB8744AF884F1758
SD INPRES TUTULING JAYA,60201164,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,12,3,157,9,9,0,2,31,14 Apr 2026 08:16:22,1A7C3FC8A9D6B3768C0B
SD Inpres Wokajaya,60200697,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,10,3,129,6,6,1,1,57,15 Apr 2026 12:02:05,BE5DAC56CA0B625DA7E9
SD NEGERI DODAGA,60201197,SD,Negeri,Kec. Wasile Timur,270607,Kab. Halmahera Timur,270600,Prov. Maluku Utara,270000,8,3,184,6,7,0,1,27,30 Apr 2026 06:25:08,712D707215BE9FF59B10
