nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INP. BERA DOLU,50304191,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,10,2,116,6,7,1,1,39,02 Apr 2026 22:32:58,5E28C05860842B71825D
SD INPRES DOKA KAKA,50304196,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,5,160,7,8,1,1,10,05 Mar 2026 09:19:22,945D6A16B25C2915C47D
SD INPRES KURU TEPE,50304203,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,14,4,220,10,10,0,1,11,03 Mar 2026 17:02:33,9C4FA6D9D0249E46CF24
SD INPRES TANA RARA,50304155,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,12,5,83,6,8,0,1,25,02 May 2026 16:42:25,B8F73864FEB5AC6176F5
SD INPRES WEE SAKE,50304285,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,12,2,170,9,12,2,1,9,29 Apr 2026 21:38:53,145943710771483E588C
SD NEGERI DASSA ELU,50304195,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,12,2,147,7,12,1,1,5,06 Mar 2026 06:42:57,CF2B8BFA2DA381702E69
SD NEGERI GOLLU SAPI,50303977,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,2,129,7,12,0,1,43,28 Apr 2026 09:52:03,C2983B35A2B497EE0542
SD NEGERI KABA RARA,69727891,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,10,1,92,6,6,0,1,6,04 Mar 2026 07:27:18,7E135D6B5F0A6973B0FB
SD NEGERI LOMANA PADAKA,50303968,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,15,0,151,8,8,1,0,21,29 Apr 2026 07:41:48,8B04971EDB245B4F9658
SD NEGERI PANGADU RADE,50304095,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,17,3,307,13,15,1,1,22,08 Apr 2026 08:28:49,CDE5D116D12CD113ED0D
SD NEGERI PUU WERY,50304102,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,18,6,199,9,22,1,1,66,30 Apr 2026 10:38:17,DD2B25615AB2E9E0CC88
SD NEGERI ROWA RARA,70057881,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,0,167,7,7,0,1,97,01 May 2026 04:07:04,F788DDAE64BEB708D847
SD NEGERI TABULO DARA,50304094,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,22,4,457,17,18,1,1,23,29 Apr 2026 20:00:57,B0125C5B121CF7C86887
SD NEGERI TILLU MAREDA,50304085,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,22,1,317,13,15,0,0,30,24 Apr 2026 17:02:38,02990E0A2931368D7349
SD NEGERI WEEKAROU,50308030,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,20,3,209,11,13,1,1,6,05 Mar 2026 11:32:22,B1F323E28C2852752479
SDN Bali Ledo,69815333,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,10,1,91,6,6,0,1,15,29 Apr 2026 10:43:35,62F344AE04BB3137889A
SDN Puu Kaniki,69815332,SD,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,2,25,6,6,0,1,15,04 Apr 2026 07:40:44,5B456F18AE42EB20C584
SD Kristen Narwastu,70002663,SD,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,7,4,130,6,6,0,0,12,18 Apr 2026 15:16:52,CE9D16EF222A8DAA75AD
SD KRISTEN TUNAS DAUD JAYA,69727897,SD,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,10,1,213,8,5,1,1,37,12 Mar 2026 11:21:28,438C68A72C545815BA71
SDM WAIKABUBAK II,50304013,SD,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,16,5,324,12,17,1,1,31,30 Apr 2026 10:22:06,9D71F9B932B124A1D3D5
SDM WEE RANU,50304021,SD,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,2,128,6,8,1,1,9,10 Apr 2026 07:28:26,D2E882EE1692A8039D93
SDM WEEKABETE,69787657,SD,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,2,113,6,9,0,1,26,24 Apr 2026 06:12:15,482F2D50FB18C4E584D4
SMP NEGERI 1 LOLI,50304047,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,18,2,159,6,12,2,2,33,17 Apr 2026 09:24:01,679D21FB19ADD91D10AA
SMP NEGERI 1 WAIKABUBAK,50304042,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,29,4,417,14,21,4,1,51,30 Apr 2026 10:21:18,200C3146D4138029C040
SMP NEGERI 2 LOLI,50304060,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,25,4,397,14,17,3,1,39,22 Apr 2026 10:14:19,ECE0B24BCC32053D352C
SMP NEGERI 3 LOLI,50308053,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,16,3,135,6,8,5,2,19,30 Apr 2026 09:47:28,58CD10E312F4836AA85D
SMP NEGERI 4 LOLI,50308044,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,21,4,233,8,9,2,2,117,21 Apr 2026 06:32:12,BB9AAC95AD6561AFD8CD
SMP NEGERI 5 LOLI,50308045,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,14,1,85,4,8,2,1,29,28 Apr 2026 10:51:23,3F24A90980338420F650
SMP NEGERI 6 LOLI,69727934,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,15,2,118,6,9,2,1,10,24 Apr 2026 04:37:19,EBC79DC0DA2E42801746
SMP NEGERI 7 LOLI,69787656,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,1,54,3,5,0,0,22,20 Apr 2026 09:58:33,B612AFDA1AB209FC8348
SMP SATU ATAP KABARARA,69965099,SMP,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,1,39,3,6,1,1,19,08 Apr 2026 19:45:28,03F0C02B3130ED1BFFE2
SMP KRISTEN TUNAS DAUD JAYA,69949180,SMP,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,1,31,3,3,1,1,16,22 Apr 2026 06:58:46,C0A0BAE1004960902C73
SMA NEGERI 1 LOLI,70037183,SMA,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,23,5,118,5,5,1,1,37,27 Apr 2026 14:13:55,934725C02724C0E5F1A6
SMAS KATOLIK SINT PIETER WAIKABUBAK,69734157,SMA,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,37,6,604,18,19,2,1,56,01 May 2026 10:05:25,EE76158DD78176A7A2EE
SMAS KRISTEN WEE KAROU,50304062,SMA,Swasta,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,26,3,289,10,14,2,1,41,23 Apr 2026 19:05:15,A2BC6B67BAA5A5DABE79
SMK NEGERI 2 LOLI,69888491,SMK,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,30,4,260,14,14,1,0,29,20 Apr 2026 12:07:22,DDAD0D585A3427B47341
SMKN 1 LOLI,50304071,SMK,Negeri,Kec. Loli,241305,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,41,16,237,18,20,6,1,44,14 Apr 2026 17:15:40,24F3C986589599A5E308
SD INPRES CONGA TANA,50304194,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,2,85,6,6,1,2,27,30 Apr 2026 11:10:31,A9DBAD7D17415A955D46
SD INPRES DONGA DELO,50304197,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,8,3,54,6,7,1,1,10,05 Mar 2026 08:34:28,F0C98B3925692F95DB67
SD INPRES MAGHO NAGA,50304145,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,2,122,6,7,1,1,24,03 Apr 2026 02:11:01,40C166F1CAD78D3B1E3A
SD INPRES OMBA NALO,50304133,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,15,2,194,9,9,0,1,27,24 Apr 2026 08:30:26,7B509E5A28AD1FF33072
SD INPRES PUU BOGHILA,50304169,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,3,100,6,7,1,1,28,24 Apr 2026 16:14:59,F4AF68A133DE44B2EF60
SD NEGERI BONDO BULU,70057381,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,7,0,80,6,3,0,0,46,30 Apr 2026 13:30:51,CDC84117CF212269EF06
SD NEGERI BONDO EDE,50303948,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,9,2,89,6,11,1,1,71,30 Apr 2026 18:50:15,66A607B3602B337526D2
SD NEGERI GOLLU KALOGHO,50303965,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,16,5,188,11,11,1,1,23,03 Mar 2026 07:24:19,63B745A6AB96F4A490AB
SD NEGERI LINGU LANGO,50303975,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,14,4,181,11,16,1,3,28,16 Apr 2026 10:28:02,87C288B7596928D917BD
SD NEGERI LOKORY,50303967,SD,Negeri,Kec. Tana Righu,241318,Kab. Sumba Barat,241300,Prov. Nusa Tenggara Timur,240000,17,5,291,12,13,1,1,18,30 Apr 2026 08:12:43,4D506D992A5D2BD576CD
