nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES BONTO SAPIRI,40304108,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,9,6,100,6,6,0,1,12,08 Apr 2026 03:54:08,2F4E0FD09FF9C7A70AB5
SD INPRES JAGONG,40310838,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,11,3,148,7,6,0,1,11,23 Apr 2026 11:25:02,084F546C1BC88F7CE929
SD INPRES KAYULOE,40304118,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,15,5,141,10,9,0,1,10,23 Apr 2026 19:51:56,C32468166E72A14BD1D0
SD INPRES LASEPANG,40304117,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,18,2,195,12,12,0,1,19,18 Apr 2026 11:32:47,62534C3B848A900898C2
SD INPRES ONTO,40304082,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,12,5,82,6,15,0,1,13,03 Mar 2026 18:12:53,B455AC78EAC022A04726
SD INPRES TAPPANJENG,40303956,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,24,7,447,15,14,0,1,13,20 Apr 2026 08:41:33,1F6D91DDF854513CF957
SD INPRES TELADAN MERPATI,40303964,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,24,3,339,14,13,1,1,30,29 Apr 2026 22:56:16,07727D1DAC351310C8D3
SD NEGERI 1 LEMBANG CINA,40303972,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,5,98,6,7,0,1,16,29 Apr 2026 18:57:24,72011841AEBFDA319256
SD NEGERI 10 PASORONGI,40303971,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,17,2,97,6,6,0,1,16,13 Apr 2026 06:07:55,1F0A45090D27F796E2F7
SD NEGERI 14 ALLU,40303968,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,12,5,139,7,6,1,1,20,09 Apr 2026 18:30:14,8CC92C48B93E83E964F9
SD NEGERI 15 SAMATA,40303967,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,2,72,6,6,0,1,4,07 Mar 2026 10:34:45,0C224AEB7DAC8FF5924A
SD NEGERI 17 UJUNG LABBU,40303953,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,15,1,119,6,6,0,1,8,20 Apr 2026 21:54:08,F0806F4C53C3672050EC
SD NEGERI 2 LEMBANG CINA,40303937,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,22,5,211,12,12,0,1,18,15 Apr 2026 06:56:15,B2CBC7FF2A291951B38E
SD NEGERI 3 LEMBANG CINA,40303941,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,2,131,6,8,1,1,16,30 Apr 2026 10:07:42,9E04E000B71EDDEC69E5
SD NEGERI 4 LEMBANG CINA,40303952,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,9,3,88,6,6,0,1,7,09 Apr 2026 08:38:26,377234A9FD93AC43EEE3
SD NEGERI 5 LEMBANG CINA,40304007,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,28,3,489,18,18,1,1,13,02 May 2026 18:07:51,0ED04708CBFDF38C3227
SD NEGERI 54 BINAMUNGAN,40318541,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,14,3,117,6,6,0,0,32,19 Apr 2026 22:12:44,B9E568CA88440C625DC7
SD NEGERI 6 TAPPANJENG,40304021,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,8,5,79,6,6,0,1,11,09 Apr 2026 14:50:30,91678B0DCD3633023418
SD NEGERI 7 LETTA,40304004,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,20,4,375,13,13,1,1,30,01 May 2026 20:02:13,E289946CC142E5716B8E
SD NEGERI 70 BARAKASSI,69894094,SD,Negeri,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,17,4,77,12,12,0,0,10,22 Apr 2026 07:26:04,8928AD47AA2E6576B8E2
