nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 RANAI,11001160,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,22,4,346,15,9,0,2,25,29 Apr 2026 10:55:12,E793236BFAECEF83956E
SD NEGERI 002 RANAI,11001172,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,21,13,356,14,9,1,1,35,24 Apr 2026 12:47:30,E31DE4CC2849A2FE76D1
SD NEGERI 003 SUNGAI ULU,11001190,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,8,4,116,6,6,1,1,14,27 Apr 2026 23:41:22,54548D3AD3263F7520BA
SD NEGERI 004 RANAI,11001308,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,15,8,227,11,7,0,1,47,23 Apr 2026 14:43:33,1C01EAF7E45B14D8824C
SD NEGERI 005 SEPEMPANG,11001326,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,15,4,233,10,10,0,1,23,06 Apr 2026 11:12:10,A1D179C5579180D2BD9D
SD NEGERI 006 BANDARSYAH,11001350,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,18,5,220,11,8,0,1,23,23 Apr 2026 19:18:09,A85F50FAFE995F8E11C7
SD NEGERI 007 RANAI DARAT,11001357,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,21,3,355,15,18,0,0,58,11 Apr 2026 11:35:39,77751329C6C518C023D1
SD NEGERI 008 BATU GAJAH,11001368,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,10,3,38,6,6,0,1,10,01 May 2026 21:00:09,89B7A5EE870568BA0EF7
SD NEGERI 009 BANDARSYAH,11001378,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,10,2,96,6,6,0,1,26,30 Apr 2026 11:16:04,4B7B586006BDB438484B
SD NEGERI 010 BATU GAJAH,11001383,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,9,4,49,6,6,0,1,30,03 Mar 2026 09:08:01,018F7218F0328B0F4673
SD NEGERI 011 RANAI,11002764,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,8,4,97,6,6,0,1,87,23 Apr 2026 07:56:30,FD1FA9AF11098A41196E
SD NEGERI 012 RANAI,69964075,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,21,5,274,12,10,1,1,22,06 Apr 2026 15:21:16,008187FA2A2EB5E613B4
SD NEGERI 013 RANAI,70041098,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,9,3,104,6,6,0,0,35,24 Apr 2026 20:00:25,88CEADCB3B7061BAD54F
Sekolah Rakyat Dasar Terintegrasi 32 Natuna,70058785,SD,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,1,0,23,4,2,1,1,46,20 Apr 2026 08:02:20,9AD3F6EA135C62BCB647
SD ISLAM TERPADU ANAK SHOLEH RANAI,69980322,SD,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,19,2,177,8,7,0,0,23,06 Apr 2026 18:38:23,331A137E59D8C687AF7F
SD ISLAM TERPADU NIQ BUNGURAN TIMUR,70001237,SD,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,17,3,232,12,12,0,1,28,30 Jan 2026 21:32:51,6F1368B5B8C92C7AAF92
Sekolah Rakyat Menengah Pertama Terintegrasi 32 Natuna,70058786,SMP,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,5,0,50,2,5,2,1,25,23 Apr 2026 07:14:14,8B5606486A503B3F67BE
SMP NEGERI 1 BUNGURAN TIMUR,11000317,SMP,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,49,11,761,24,27,4,1,124,01 May 2026 00:59:07,D90E33D7493434D52E38
SMP NEGERI 2 BUNGURAN TIMUR,11002054,SMP,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,19,9,235,9,11,2,2,23,27 Apr 2026 10:49:01,7CF0DB5F04B91A372E37
SMP NEGERI 3 BUNGURAN TIMUR,11002498,SMP,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,12,7,88,3,8,2,1,36,23 Apr 2026 05:33:13,50AFF61BDE177C03D933
SMP Imam Syafii Boarding School,70047877,SMP,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,8,3,42,3,3,0,1,36,24 Apr 2026 22:19:43,1AEC86A0DD9FB74834C4
SMP NURUL JANNAH,69893913,SMP,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,15,3,207,8,6,1,1,22,19 Apr 2026 08:28:17,D67EDECFC3615992A786
SMPIT NATUNA INSAN QURANI,70030341,SMP,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,7,3,50,3,3,0,0,15,04 Apr 2026 21:23:39,1BA33993B1D2243CB34A
Sekolah Rakyat Menengah Atas Terintegrasi 32 Natuna,70058787,SMA,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,11,1,22,2,5,1,1,40,20 Apr 2026 10:41:59,740E39EF29C050897676
SMAN 1 BUNGURAN TIMUR,11000322,SMA,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,48,17,947,27,27,4,1,58,30 Apr 2026 09:14:47,83F4A8E02B4C278F2909
SMAN 2 BUNGURAN TIMUR,11002049,SMA,Negeri,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,41,12,558,18,18,5,2,26,05 Apr 2026 11:37:01,8339E70D8DB510EF12B1
SMA NURUL JANNAH,70057010,SMA,Swasta,Kec. Bunguran Timur,310305,Kab. Natuna,310300,Prov. Kepulauan Riau,310000,0,0,13,1,1,0,0,7,27 Apr 2026 09:42:15,C866AAB40CE5EBAA6C3F
